"Latitude","Longitude","Description","Name","Number"
55.886091307527806,37.64313630387863,,"Sign 0",0
55.87896328978763,37.63635567948891,,"Sign 1",1
55.878203372795305,37.635905068374484,,"Sign 2",2
55.8709653196094,37.63820103929116,,"Sign 3",3
55.87166505723341,37.64899424836706,,"Sign 4",4
55.86956580633734,37.66395024583407,,"Sign 5",5
55.86181930851841,37.66025952622947,,"Sign 6",6
55.85900750112193,37.66028098390157,,"Sign 7",7
55.85658170049831,37.66195468232688,,"Sign 8",8
55.85110196918942,37.67028025910909,,"Sign 9",9
55.84869981588147,37.670773785567775,,"Sign 10",10
55.84633373021746,37.66991547868296,,"Sign 11",11
55.84243420202734,37.66459397599737,,"Sign 12",12
55.84189089291767,37.6644437722925,,"Light 13",13
55.83662643657695,37.65757731721433,,"Light 14",14
55.83607097052705,37.65624694154295,,"Light 15",15
55.83119218729134,37.651140015578385,,"Light 16",16
55.82706164783677,37.64689139649876,,"Light 17",17
55.82735152461872,37.645174782729214,,"Light 18",18
55.82206093173771,37.635046761488994,,"Light 19",19
55.82213341048755,37.63118438050754,,"Light 20",20
55.821771015344076,37.629381936049526,,"Light 21",21
55.8218676543724,37.61921099946502,,"Light 22",22
55.822616598698694,37.61891059205536,,"Light 23",23
55.82283403143551,37.616271298384696,,"Light 24",24
55.82395741449501,37.616217654204405,,"Light 25",25